,외국인 보유금액 (단위:조원),외환보유액(단위:억달러),FTSE지수(종가기준),MSCI지수(종가기준),2013년물(USD),"2014년물(4월,USD)","2014년물(9월,USD)",2015년물(EUR),2016년물(USD),2019년물(USD),2023년물(USD),2024년물(USD),2027년물(USD),2028년물(USD),2029년물(USD),2044년물(USD),2048년물(USD),국고채 3년(평균),국고채 5년(평균),국고채 10년(평균),회사채 3년(평균),CD 91물(평균),"콜금리(1일물,평균)",기준금리,미국 연준 금리(평균),AAII(경제전망 단위: %),외국인투자 VIX
200408월,165.6,"1,705",103.86,237.37,69,-,-,-,-,-,-,-,-,-,-,-,-,3.82,4.01,4.33,4.38,3.7,3.6,3.5,1.429,2.975,15.29
200409월,173.1,"1,745",107.45,245.87,75,-,97,-,-,-,-,-,-,-,-,-,-,3.59,3.75,4.14,4.1,3.52,3.52,3.5,1.605,15.94,13.34
200410월,171.3,"1,784",107.08,243.79,56,-,73,-,-,-,-,-,-,-,-,-,-,3.54,3.67,4.05,4.01,3.52,3.52,3.5,1.76,19.5,16.27
200411월,179.1,"1,926",111.54,252.75,62,-,85,-,-,-,-,-,-,-,-,-,-,3.42,3.53,3.96,3.86,3.42,3.34,3.25,1.932,34.9,13.24
200412월,179.7,"1,991",113.59,256.4,66,-,82,-,-,-,-,-,-,-,-,-,-,3.28,3.39,3.85,3.73,3.39,3.27,3.25,2.156,34.6,13.29
200501월,190.4,"1,997",117.43,269.87,61,-,72,-,-,-,-,-,-,-,-,-,-,3.65,3.89,4.42,4.11,3.47,3.26,3.25,2.279,-3.075,12.82
200502월,206.4,"2,022",127.22,290.05,61,-,70,-,-,-,-,-,-,-,-,-,-,4.19,4.47,4.88,4.63,3.59,3.26,3.25,2.501,11,12.08
200503월,195,"2,055",120.84,275.98,74,-,83,-,-,-,-,-,-,-,-,-,-,4.04,4.29,4.77,4.48,3.55,3.24,3.25,2.629,-0.82,14.02
200504월,182.6,"2,064",112.99,257.79,78,-,85,-,-,-,-,-,-,-,-,-,-,3.86,4.11,4.69,4.28,3.52,3.25,3.25,2.784,-10.6,15.31
200505월,194,"2,061",120.01,273.48,71,-,77,-,-,-,-,-,-,-,-,-,-,3.71,3.89,4.42,4.12,3.51,3.29,3.25,3.002,2.225,13.29
200506월,200.7,"2,050",123.44,281.07,64,-,73,-,-,-,-,-,-,-,-,-,-,3.79,3.97,4.46,4.18,3.51,3.27,3.25,3.035,25.92,12.04
200507월,223.8,"2,057",137.45,313.56,60,-,68,-,-,-,-,-,-,-,-,-,-,4.12,4.39,4.89,4.52,3.51,3.24,3.25,3.262,30.025,11.57
200508월,218.9,"2,067",134.56,307.52,63,-,74,-,-,-,-,-,-,-,-,-,-,4.33,4.67,5.08,4.75,3.5,3.24,3.25,3.499,6.575,12.6
200509월,244,"2,067",151.19,345.21,57,-,68,-,-,-,-,-,-,-,-,-,-,4.52,4.81,5.15,4.92,3.7,3.24,3.25,3.622,5.26,11.92
200510월,229.2,"2,073",142.12,324.28,62,-,72,23,-,-,-,-,-,-,-,-,-,4.81,5.06,5.36,5.2,3.93,3.45,3.5,3.779,1.65,15.32
200511월,254.5,"2,082",158.61,360.28,65,-,74,25,-,-,-,-,-,-,-,-,-,5.1,5.39,5.68,5.5,3.96,3.49,3.5,3.999,31.025,12.06
