date,value
7-24-87,22.0%
7-31-87,0.0%
8-7-87,27.0%
8-14-87,25.0%
8-21-87,60.0%
8-28-87,22.0%
9-4-87,1.0%
9-11-87,23.0%
9-18-87,49.0%
9-25-87,23.0%
10-2-87,14.0%
10-9-87,31.0%
10-16-87,4.0%
10-23-87,8.0%
10-30-87,11.0%
11-6-87,25.0%
11-13-87,3.0%
11-20-87,20.0%
11-27-87,0.0%
12-4-87,-17.0%
12-11-87,-9.0%
12-18-87,6.0%
12-24-87,8.0%
12-31-87,-1.0%
1-8-88,14.0%
1-15-88,8.0%
1-22-88,-10.0%
1-29-88,-3.0%
2-5-88,17.0%
2-12-88,10.0%
2-19-88,3.0%
2-26-88,11.0%
3-4-88,16.0%
3-11-88,26.0%
3-18-88,31.0%
3-25-88,28.0%
4-1-88,15.0%
4-8-88,14.0%
4-15-88,-1.0%
4-22-88,3.0%
4-29-88,-8.0%
5-6-88,18.0%
5-13-88,-6.0%
5-20-88,-2.0%
5-27-88,8.0%
6-3-88,14.0%
6-10-88,5.0%
6-17-88,8.0%
6-24-88,10.0%
7-1-88,28.0%
7-8-88,20.0%
7-15-88,-11.0%
7-22-88,-10.0%
7-29-88,0.0%
8-5-88,-9.0%
8-12-88,0.0%
8-19-88,-9.0%
8-26-88,-4.0%
9-2-88,-21.0%
9-9-88,-14.0%
9-16-88,-6.0%
9-23-88,-7.0%
9-30-88,-4.0%
10-7-88,-25.0%
10-14-88,-10.0%
10-21-88,3.0%
10-28-88,18.0%
11-4-88,16.0%
11-11-88,2.0%
11-18-88,-6.0%
11-25-88,-22.0%
12-2-88,-15.0%
12-9-88,-22.0%
12-16-88,2.0%
12-23-88,-10.0%
12-30-88,2.0%
1-6-89,3.0%
1-13-89,16.0%
1-20-89,19.0%
1-27-89,13.0%
2-3-89,10.0%
2-10-89,17.0%
2-17-89,25.0%
2-24-89,3.0%
3-3-89,-7.0%
3-10-89,-22.0%
3-17-89,-1.0%
3-23-89,-1.0%
3-31-89,-22.0%
4-7-89,-9.0%
4-14-89,-8.0%
4-21-89,-7.0%
4-28-89,2.0%
5-5-89,0.0%
5-12-89,19.0%
5-19-89,24.0%
5-26-89,27.0%
6-2-89,11.0%
6-9-89,20.0%
6-16-89,1.0%
6-23-89,-12.0%
6-30-89,14.0%
7-7-89,6.0%
7-14-89,-26.0%
7-21-89,3.0%
7-28-89,7.0%
8-4-89,0.0%
8-11-89,27.0%
8-18-89,-2.0%
8-25-89,14.0%
9-1-89,-2.0%
9-8-89,-10.0%
9-15-89,6.0%
9-22-89,-15.0%
9-29-89,4.0%
10-6-89,-9.0%
10-13-89,8.0%
10-20-89,6.0%
10-27-89,5.0%
11-3-89,5.0%
11-10-89,-9.0%
11-17-89,-24.0%
11-22-89,-6.0%
12-1-89,-4.0%
12-8-89,3.0%
12-15-89,14.0%
12-22-89,4.0%
12-29-89,1.0%
1-5-90,10.0%
1-12-90,28.0%
1-19-90,11.0%
1-26-90,-14.0%
2-2-90,-33.0%
2-9-90,-32.0%
2-16-90,-11.0%
2-23-90,-14.0%
3-2-90,-21.0%
3-9-90,-14.0%
3-16-90,-15.0%
3-23-90,13.0%
3-30-90,3.0%
4-6-90,13.0%
4-12-90,10.0%
4-20-90,11.0%
4-27-90,-9.0%
5-4-90,-25.0%
5-11-90,-6.0%
5-18-90,9.0%
5-25-90,10.0%
6-1-90,2.0%
6-8-90,5.0%
6-15-90,18.0%
6-22-90,0.0%
6-29-90,-7.0%
7-6-90,-10.0%
7-13-90,10.0%
7-20-90,10.0%
7-27-90,28.0%
8-3-90,-20.0%
8-10-90,-29.0%
8-17-90,-41.0%
8-24-90,-26.0%
8-31-90,-38.0%
9-7-90,-16.0%
9-14-90,-35.0%
9-21-90,-43.0%
9-28-90,-28.0%
10-5-90,-44.0%
