,외국인 보유금액 (단위:조원),,외환보유액(단위:억달러),,,FTSE지수(종가기준),,,MSCI지수(종가기준),,,,,,,,,,,,,,,
200101월,81.8,199701월,272,,200007월,84.6,,200408월,237.37,,외평채 스프레드 추이(단위:bp),2013년물(USD),"2014년물(4월,USD)","2014년물(9월,USD)",2015년물(EUR),2016년물(USD),2019년물(USD),2023년물(USD),2024년물(USD),2027년물(USD),2028년물(USD),2029년물(USD),2044년물(USD),2048년물(USD)
200102월,76,199702월,228,,200008월,82.12,,200409월,245.87,,200306월,109,-,-,-,-,-,-,-,-,-,-,-,-
200103월,70.7,199703월,211,,200009월,70.99,,200410월,243.79,,200307월,110,-,-,-,-,-,-,-,-,-,-,-,-
200104월,80.7,199704월,218,,200010월,57.27,,200411월,252.75,,200308월,92,-,-,-,-,-,-,-,-,-,-,-,-
200105월,84.8,199705월,239,,200011월,57.25,,200412월,256.4,,200309월,78,-,-,-,-,-,-,-,-,-,-,-,-
200106월,83,199706월,253,,200012월,56.93,,200501월,269.87,,200310월,72,-,-,-,-,-,-,-,-,-,-,-,-
200107월,78.1,199707월,257,,200101월,71.89,,200502월,290.05,,200311월,66,-,-,-,-,-,-,-,-,-,-,-,-
200108월,75.7,199708월,231,,200102월,64.27,,200503월,275.98,,200312월,46,-,-,-,-,-,-,-,-,-,-,-,-
200109월,65.3,199709월,224,,200103월,59.76,,200504월,257.79,,200401월,63,-,-,-,-,-,-,-,-,-,-,-,-
200110월,76.2,199710월,223,,200104월,67.33,,200505월,273.48,,200402월,63,-,-,-,-,-,-,-,-,-,-,-,-
200111월,95,199711월,73,,200105월,69.1,,200506월,281.07,,200403월,64,-,-,-,-,-,-,-,-,-,-,-,-
200112월,100.8,199712월,89,,200106월,65.81,,200507월,313.56,,200404월,67,-,-,-,-,-,-,-,-,-,-,-,-
200201월,121.1,199801월,124,,200107월,59.74,,200508월,307.52,,200405월,80,-,-,-,-,-,-,-,-,-,-,-,-
200202월,133.3,199802월,185,,200108월,60.43,,200509월,345.21,,200406월,77,-,-,-,-,-,-,-,-,-,-,-,-
200203월,146.2,199803월,242,,200109월,51.14,,200510월,324.28,,200407월,75,-,-,-,-,-,-,-,-,-,-,-,-
200204월,140.5,199804월,308,,200110월,59.79,,200511월,360.28,,200408월,69,-,-,-,-,-,-,-,-,-,-,-,-
200205월,134.3,199805월,344,,200111월,75.07,,200512월,386.26,,200409월,75,-,97,-,-,-,-,-,-,-,-,-,-
200206월,125.9,199806월,370,,200112월,82.59,,200601월,398.14,,200410월,56,-,73,-,-,-,-,-,-,-,-,-,-
200207월,121.4,199807월,393,,200201월,87.53,,200602월,387.84,,200411월,62,-,85,-,-,-,-,-,-,-,-,-,-
200208월,122.5,199808월,414,,200202월,96.2,,200603월,386.03,,200412월,66,-,82,-,-,-,-,-,-,-,-,-,-
