"시장금리추이 단위:기간중 평균금리,%",국고채 3년(평균),국고채 5년(평균),국고채 10년(평균),회사채 3년(평균),CD 91물(평균),"콜금리(1일물,평균)",기준금리
199701월,12.17,12.13,-,12.15,12.66,11.32,-
199702월,12.10,11.98,-,12.17,12.28,11.51,-
199703월,12.32,12.12,-,12.69,13.23,12.93,-
199704월,12.40,12.20,-,12.50,13.11,12.96,-
199705월,12.40,12.20,-,12.21,12.75,12.40,-
199706월,11.72,11.68,-,11.65,11.79,11.15,-
199707월,11.65,11.70,-,11.86,11.91,11.39,-
199708월,11.65,11.70,-,12.11,12.65,12.37,-
199709월,11.65,11.70,-,12.36,13.39,13.11,-
199710월,11.65,11.70,-,12.53,13.79,13.52,-
199711월,12.40,12.23,-,14.08,14.47,14.07,-
199712월,14.96,14.70,-,24.31,18.55,20.66,-
199801월,15.00,16.65,-,23.36,23.10,25.33,-
199802월,15.00,16.60,-,19.78,22.46,23.52,-
199803월,15.09,16.58,-,18.98,22.61,22.43,-
199804월,17.13,16.08,-,18.10,20.26,21.39,-
199805월,16.86,16.06,-,17.89,18.28,18.77,-
199806월,15.04,14.59,-,16.64,16.93,16.43,-
199807월,12.57,12.24,-,13.69,13.95,12.83,-
199808월,11.72,11.59,-,12.38,11.19,9.53,-
199809월,11.84,11.87,-,12.51,10.38,8.48,-
199810월,9.40,9.70,-,10.01,8.08,7.39,-
199811월,8.34,8.70,-,9.60,7.70,7.29,-
199812월,7.23,7.50,-,8.30,7.70,7.04,-
199901월,6.67,7.49,-,7.89,7.00,6.37,-
199902월,7.08,8.40,-,8.56,6.70,5.65,-
199903월,6.81,8.10,-,8.55,6.56,5.02,-
199904월,6.37,7.09,-,7.56,6.16,4.81,-
199905월,6.75,7.97,-,8.32,6.17,4.78,4.75
199906월,6.88,7.92,-,8.06,6.28,4.79,4.75
199907월,7.89,8.44,-,8.58,6.75,4.79,4.75
199908월,8.91,9.30,-,9.88,7.19,4.74,4.75
199909월,9.33,9.81,-,10.41,7.54,4.74,4.75
199910월,8.28,9.10,-,9.12,7.29,4.77,4.75
199911월,8.46,9.57,-,9.53,6.91,4.76,4.75
199912월,8.85,9.94,-,9.85,7.16,4.79,4.75
200001월,9.28,10.02,-,10.25,7.28,4.78,4.75
200002월,8.99,9.54,-,10.01,7.13,5.02,5.00
200003월,9.06,9.54,-,10.00,7.00,5.10,5.00
200004월,8.95,9.30,-,9.97,7.06,5.10,5.00
200005월,8.96,9.29,-,9.91,7.14,5.12,5.00
200006월,8.66,8.95,-,9.72,7.17,5.12,5.00
200007월,8.00,8.28,-,9.13,7.15,5.14,5.00
200008월,7.85,8.17,-,9.00,7.04,5.14,5.00
200009월,7.96,8.31,-,9.00,7.05,5.13,5.00
200010월,7.84,8.19,8.25,8.72,7.04,5.33,5.25
200011월,7.31,7.56,7.86,8.42,6.99,5.35,5.25
200012월,6.79,6.92,7.18,8.12,6.89,5.37,5.25
200101월,5.99,6.20,6.65,7.76,6.43,5.32,5.25
200102월,5.43,5.76,6.41,6.79,5.73,5.15,5.00
200103월,5.84,6.40,7.00,7.16,5.68,5.05,5.00
200104월,6.59,7.24,7.74,7.91,5.84,5.03,5.00
200105월,6.46,7.05,7.58,7.70,5.85,5.03,5.00
200106월,6.04,6.49,7.14,7.24,5.65,5.03,5.00
200107월,5.75,6.17,6.83,7.00,5.32,4.81,4.75
200108월,5.15,5.43,6.29,6.51,4.92,4.61,4.50
200109월,4.89,5.21,6.19,6.32,4.66,4.33,4.00
200110월,4.74,5.65,6.54,6.31,4.36,4.03,4.00
200111월,5.34,6.20,6.88,6.79,4.53,4.03,4.00
200112월,5.93,6.66,7.01,7.11,4.84,4.01,4.00
200201월,6.08,6.85,7.10,7.07,4.79,3.98,4.00
200202월,5.92,6.66,7.00,6.89,4.54,4.01,4.00
200203월,6.30,6.97,7.17,7.05,4.64,4.01,4.00
200204월,6.47,7.06,7.30,7.20,4.79,4.01,4.00
200205월,6.30,6.80,7.09,7.07,4.81,4.25,4.25
200206월,5.93,6.33,6.76,6.76,4.85,4.30,4.25
200207월,5.70,6.11,6.54,6.59,4.91,4.28,4.25
200208월,5.37,5.79,6.24,6.23,4.80,4.29,4.25
200209월,5.37,5.77,6.16,6.06,4.81,4.30,4.25
200210월,5.39,5.71,6.11,6.01,4.91,4.30,4.25
200211월,5.29,5.52,5.80,5.90,4.91,4.30,4.25
200212월,5.28,5.57,5.77,5.88,4.90,4.31,4.25
200301월,4.96,5.15,5.43,5.48,4.70,4.28,4.25
200302월,4.73,4.89,5.15,5.25,4.54,4.30,4.25
200303월,4.78,4.94,5.20,5.44,4.76,4.24,4.25
200304월,4.60,4.77,5.03,5.39,4.62,4.24,4.25
200305월,4.27,4.41,4.68,5.26,4.39,4.06,4.00
200306월,4.07,4.19,4.46,5.28,4.28,4.01,4.00
200307월,4.37,4.63,4.95,5.65,4.15,3.82,3.75
200308월,4.62,4.93,5.26,5.87,3.90,3.74,3.75
200309월,4.25,4.46,4.77,5.24,3.83,3.74,3.75
200310월,4.28,4.53,4.87,5.18,3.93,3.74,3.75
200311월,4.77,5.08,5.35,5.53,4.23,3.77,3.75
200312월,4.87,5.13,5.43,5.61,4.34,3.77,3.75
200401월,4.88,5.16,5.42,5.67,4.26,3.78,3.75
200402월,4.83,5.13,5.43,5.63,4.08,3.75,3.75
200403월,4.58,4.88,5.26,5.37,3.93,3.75,3.75
200404월,4.54,4.88,5.25,5.29,3.91,3.75,3.75
200405월,4.39,4.75,5.16,5.07,3.90,3.76,3.75
200406월,4.28,4.58,5.01,4.91,3.91,3.76,3.75
200407월,4.19,4.47,4.88,4.77,3.91,3.76,3.75
200408월,3.82,4.01,4.33,4.38,3.70,3.60,3.50
200409월,3.59,3.75,4.14,4.10,3.52,3.52,3.50
200410월,3.54,3.67,4.05,4.01,3.52,3.52,3.50
200411월,3.42,3.53,3.96,3.86,3.42,3.34,3.25
200412월,3.28,3.39,3.85,3.73,3.39,3.27,3.25
200501월,3.65,3.89,4.42,4.11,3.47,3.26,3.25
200502월,4.19,4.47,4.88,4.63,3.59,3.26,3.25
200503월,4.04,4.29,4.77,4.48,3.55,3.24,3.25
200504월,3.86,4.11,4.69,4.28,3.52,3.25,3.25
200505월,3.71,3.89,4.42,4.12,3.51,3.29,3.25
200506월,3.79,3.97,4.46,4.18,3.51,3.27,3.25
200507월,4.12,4.39,4.89,4.52,3.51,3.24,3.25
200508월,4.33,4.67,5.08,4.75,3.50,3.24,3.25
200509월,4.52,4.81,5.15,4.92,3.70,3.24,3.25
200510월,4.81,5.06,5.36,5.20,3.93,3.45,3.50
200511월,5.10,5.39,5.68,5.50,3.96,3.49,3.50
200512월,5.06,5.33,5.60,5.49,4.04,3.70,3.75
200601월,5.02,5.29,5.58,5.50,4.15,3.74,3.75
200602월,4.87,5.03,5.28,5.33,4.25,3.92,4.00
200603월,4.93,5.13,5.42,5.30,4.27,3.97,4.00
200604월,4.95,5.16,5.45,5.24,4.33,3.97,4.00
200605월,4.78,4.93,5.20,5.05,4.36,3.96,4.00
200606월,4.89,5.03,5.25,5.17,4.47,4.17,4.25
200607월,4.89,5.00,5.16,5.18,4.63,4.21,4.25
200608월,4.77,4.83,4.94,5.10,4.68,4.42,4.50
200609월,4.69,4.76,4.89,5.02,4.64,4.47,4.50
200610월,4.62,4.67,4.79,4.93,4.57,4.48,4.50
200611월,4.72,4.79,4.91,5.05,4.60,4.47,4.50
200612월,4.82,4.88,4.95,5.18,4.76,4.50,4.50
200701월,4.97,5.00,5.04,5.32,4.92,4.63,4.50
200702월,4.91,4.94,5.01,5.28,4.95,4.60,4.50
200703월,4.79,4.82,4.94,5.20,4.94,4.60,4.50
200704월,4.94,4.96,5.07,5.34,4.95,4.69,4.50
200705월,5.10,5.13,5.22,5.49,5.04,4.61,4.50
200706월,5.24,5.35,5.48,5.64,5.03,4.54,4.50
200707월,5.35,5.43,5.52,5.75,5.05,4.67,4.75
200708월,5.28,5.33,5.42,5.70,5.21,4.92,5.00
200709월,5.39,5.44,5.52,5.85,5.34,4.98,5.00
200710월,5.42,5.49,5.56,5.98,5.34,5.00,5.00
200711월,5.54,5.59,5.61,6.16,5.43,5.00,5.00
200712월,5.89,5.90,5.82,6.73,5.73,4.99,5.00
200801월,5.44,5.51,5.56,6.64,5.81,4.99,5.00
200802월,5.06,5.14,5.28,6.27,5.28,4.97,5.00
200803월,5.15,5.20,5.36,6.13,5.25,4.97,5.00
200804월,4.98,5.02,5.17,5.91,5.38,4.99,5.00
200805월,5.28,5.36,5.50,6.22,5.36,4.97,5.00
200806월,5.70,5.80,5.89,6.68,5.36,4.95,5.00
200807월,5.96,6.02,6.03,6.99,5.52,4.98,5.00
200808월,5.77,5.83,5.91,7.11,5.77,5.22,5.25
200809월,5.81,5.86,5.99,7.46,5.79,5.22,5.25
