month,value
"(1987, 7)",11.0
"(1987, 8)",33.5
"(1987, 9)",24.0
"(1987, 10)",13.6
"(1987, 11)",12.0
"(1987, 12)",-2.6
"(1988, 1)",2.25
"(1988, 2)",10.25
"(1988, 3)",25.25
"(1988, 4)",4.6
"(1988, 5)",4.5
"(1988, 6)",9.25
"(1988, 7)",5.4
"(1988, 8)",-5.5
"(1988, 9)",-10.4
"(1988, 10)",-3.5
"(1988, 11)",-2.5
"(1988, 12)",-8.6
"(1989, 1)",12.75
"(1989, 2)",13.75
"(1989, 3)",-10.6
"(1989, 4)",-5.5
"(1989, 5)",17.5
"(1989, 6)",6.8
"(1989, 7)",-2.5
"(1989, 8)",9.75
"(1989, 9)",-3.4
"(1989, 10)",2.5
"(1989, 11)",-8.5
"(1989, 12)",3.6
"(1990, 1)",8.75
"(1990, 2)",-22.5
"(1990, 3)",-6.8
"(1990, 4)",6.25
"(1990, 5)",-3.0
"(1990, 6)",3.6
"(1990, 7)",9.5
"(1990, 8)",-30.8
"(1990, 9)",-30.5
"(1990, 10)",-41.0
"(1990, 11)",-29.8
"(1990, 12)",-16.5
"(1991, 1)",-19.75
"(1991, 2)",10.75
"(1991, 3)",21.6
"(1991, 4)",27.75
"(1991, 5)",14.2
"(1991, 6)",18.75
"(1991, 7)",8.25
"(1991, 8)",5.6
"(1991, 9)",10.0
"(1991, 10)",1.0
"(1991, 11)",9.2
"(1991, 12)",-2.75
"(1992, 1)",20.2
"(1992, 2)",18.0
"(1992, 3)",19.0
"(1992, 4)",18.75
"(1992, 5)",14.6
"(1992, 6)",12.25
"(1992, 7)",-5.8
"(1992, 8)",-10.25
"(1992, 9)",-19.25
"(1992, 10)",-17.0
"(1992, 11)",25.0
"(1992, 12)",33.5
"(1993, 1)",22.6
"(1993, 2)",16.5
"(1993, 3)",11.75
"(1993, 4)",-2.2
"(1993, 5)",-17.75
"(1993, 6)",-10.0
"(1993, 7)",-11.8
"(1993, 8)",-6.75
"(1993, 9)",-1.75
"(1993, 10)",2.8
"(1993, 11)",4.75
"(1993, 12)",6.8
"(1994, 1)",12.25
"(1994, 2)",14.5
"(1994, 3)",-8.2
"(1994, 4)",-12.5
"(1994, 5)",-6.25
"(1994, 6)",5.4
"(1994, 7)",-5.0
"(1994, 8)",1.0
"(1994, 9)",16.0
"(1994, 10)",12.25
"(1994, 11)",9.6
"(1994, 12)",7.0
"(1995, 1)",14.75
"(1995, 2)",19.0
"(1995, 3)",26.4
"(1995, 4)",11.5
"(1995, 5)",11.5
"(1995, 6)",8.6
"(1995, 7)",8.5
"(1995, 8)",10.2
"(1995, 9)",15.5
"(1995, 10)",19.5
"(1995, 11)",26.0
"(1995, 12)",24.75
