month,Close
"(1990, 2)",21.99
"(1990, 3)",19.73
"(1990, 4)",19.52
"(1990, 5)",17.370001
"(1990, 6)",15.5
"(1990, 7)",21.110001
"(1990, 8)",29.9
"(1990, 9)",29.110001
"(1990, 10)",30.040001
"(1990, 11)",22.16
"(1990, 12)",26.379999
"(1991, 1)",20.91
"(1991, 2)",21.23
"(1991, 3)",16.879999
"(1991, 4)",18.24
"(1991, 5)",15.93
"(1991, 6)",19.549999
"(1991, 7)",15.18
"(1991, 8)",14.46
"(1991, 9)",15.85
"(1991, 10)",15.48
"(1991, 11)",20.26
"(1991, 12)",19.309999
"(1992, 1)",17.4
"(1992, 2)",16.68
"(1992, 3)",16.18
"(1992, 4)",15.53
"(1992, 5)",13.86
"(1992, 6)",13.35
"(1992, 7)",13.17
"(1992, 8)",13.58
"(1992, 9)",14.28
"(1992, 10)",16.15
"(1992, 11)",13.01
"(1992, 12)",12.57
"(1993, 1)",12.42
"(1993, 2)",13.16
"(1993, 3)",12.53
"(1993, 4)",12.42
"(1993, 5)",13.47
"(1993, 6)",11.26
"(1993, 7)",11.73
"(1993, 8)",11.85
"(1993, 9)",12.99
"(1993, 10)",11.46
"(1993, 11)",13.76
"(1993, 12)",11.66
"(1994, 1)",10.63
"(1994, 2)",14.87
"(1994, 3)",20.450001
"(1994, 4)",13.77
"(1994, 5)",13.03
"(1994, 6)",14.97
"(1994, 7)",11.13
"(1994, 8)",11.97
"(1994, 9)",14.28
"(1994, 10)",14.56
"(1994, 11)",15.95
"(1994, 12)",13.2
"(1995, 1)",11.96
"(1995, 2)",11.75
"(1995, 3)",13.37
"(1995, 4)",11.75
"(1995, 5)",12.85
"(1995, 6)",11.38
"(1995, 7)",13.49
"(1995, 8)",11.52
"(1995, 9)",12.74
"(1995, 10)",13.83
"(1995, 11)",11.58
"(1995, 12)",12.52
"(1996, 1)",12.53
"(1996, 2)",17.040001
"(1996, 3)",18.879999
"(1996, 4)",15.83
"(1996, 5)",16.07
"(1996, 6)",13.68
"(1996, 7)",19.459999
"(1996, 8)",17.01
"(1996, 9)",16.950001
"(1996, 10)",18.110001
"(1996, 11)",17.139999
"(1996, 12)",20.92
"(1997, 1)",19.469999
"(1997, 2)",21.1
"(1997, 3)",22.139999
"(1997, 4)",20.059999
"(1997, 5)",19.190001
"(1997, 6)",21.530001
"(1997, 7)",21.48
"(1997, 8)",24.76
"(1997, 9)",22.91
"(1997, 10)",35.09
"(1997, 11)",27.43
"(1997, 12)",24.01
"(1998, 1)",21.469999
"(1998, 2)",18.549999
"(1998, 3)",24.219999
"(1998, 4)",21.18
"(1998, 5)",21.32
"(1998, 6)",19.709999
"(1998, 7)",24.799999
"(1998, 8)",44.279999
"(1998, 9)",40.950001
"(1998, 10)",28.049999
"(1998, 11)",26.01
"(1998, 12)",24.42
"(1999, 1)",26.25
"(1999, 2)",27.879999
"(1999, 3)",23.26
"(1999, 4)",25.07
"(1999, 5)",25.389999
"(1999, 6)",21.09
"(1999, 7)",24.639999
"(1999, 8)",24.450001
"(1999, 9)",25.41
"(1999, 10)",22.200001
"(1999, 11)",24.18
"(1999, 12)",24.639999
"(2000, 1)",24.950001
"(2000, 2)",23.370001
"(2000, 3)",24.110001
"(2000, 4)",26.200001
"(2000, 5)",23.65
"(2000, 6)",19.540001
"(2000, 7)",20.74
"(2000, 8)",16.84
"(2000, 9)",20.57
"(2000, 10)",23.629999
"(2000, 11)",29.65
"(2000, 12)",26.85
"(2001, 1)",22.02
"(2001, 2)",28.35
"(2001, 3)",28.639999
"(2001, 4)",25.48
"(2001, 5)",22.639999
"(2001, 6)",19.059999
"(2001, 7)",21.620001
"(2001, 8)",24.92
"(2001, 9)",31.93
"(2001, 10)",33.560001
"(2001, 11)",23.84
"(2001, 12)",23.799999
"(2002, 1)",21.09
"(2002, 2)",21.59
"(2002, 3)",17.4
"(2002, 4)",21.91
"(2002, 5)",19.98
"(2002, 6)",25.4
"(2002, 7)",32.029999
"(2002, 8)",32.639999
"(2002, 9)",39.689999
"(2002, 10)",31.139999
"(2002, 11)",27.5
"(2002, 12)",28.620001
"(2003, 1)",31.17
"(2003, 2)",29.629999
"(2003, 3)",29.15
"(2003, 4)",21.209999
"(2003, 5)",19.469999
"(2003, 6)",19.52
"(2003, 7)",19.49
"(2003, 8)",18.629999
"(2003, 9)",22.719999
"(2003, 10)",16.1
"(2003, 11)",16.32
"(2003, 12)",18.309999
"(2004, 1)",16.629999
"(2004, 2)",14.55
"(2004, 3)",16.74
"(2004, 4)",17.190001
"(2004, 5)",15.5
"(2004, 6)",14.34
"(2004, 7)",15.32
"(2004, 8)",15.29
"(2004, 9)",13.34
"(2004, 10)",16.27
"(2004, 11)",13.24
"(2004, 12)",13.29
"(2005, 1)",12.82
"(2005, 2)",12.08
"(2005, 3)",14.02
"(2005, 4)",15.31
"(2005, 5)",13.29
"(2005, 6)",12.04
"(2005, 7)",11.57
"(2005, 8)",12.6
"(2005, 9)",11.92
"(2005, 10)",15.32
"(2005, 11)",12.06
"(2005, 12)",12.07
"(2006, 1)",12.95
"(2006, 2)",12.34
"(2006, 3)",11.39
"(2006, 4)",11.59
"(2006, 5)",16.440001
"(2006, 6)",13.08
"(2006, 7)",14.95
"(2006, 8)",12.31
"(2006, 9)",11.98
"(2006, 10)",11.1
"(2006, 11)",10.91
"(2006, 12)",11.56
"(2007, 1)",10.42
"(2007, 2)",15.42
"(2007, 3)",14.64
"(2007, 4)",14.22
"(2007, 5)",13.05
"(2007, 6)",16.23
"(2007, 7)",23.52
"(2007, 8)",23.379999
"(2007, 9)",18.0
"(2007, 10)",18.530001
"(2007, 11)",22.870001
"(2007, 12)",22.5
"(2008, 1)",26.200001
"(2008, 2)",26.540001
"(2008, 3)",25.610001
"(2008, 4)",20.790001
"(2008, 5)",17.83
"(2008, 6)",23.950001
"(2008, 7)",22.940001
"(2008, 8)",20.65
"(2008, 9)",39.389999
"(2008, 10)",59.889999
"(2008, 11)",55.279999
"(2008, 12)",40.0
"(2009, 1)",44.84
"(2009, 2)",46.349998
"(2009, 3)",44.139999
"(2009, 4)",36.5
"(2009, 5)",28.92
"(2009, 6)",26.35
"(2009, 7)",25.92
"(2009, 8)",26.01
"(2009, 9)",25.610001
"(2009, 10)",30.690001
"(2009, 11)",24.51
"(2009, 12)",21.68
"(2010, 1)",24.620001
"(2010, 2)",19.5
"(2010, 3)",17.59
"(2010, 4)",22.049999
"(2010, 5)",32.07
"(2010, 6)",34.540001
"(2010, 7)",23.5
"(2010, 8)",26.049999
"(2010, 9)",23.700001
"(2010, 10)",21.200001
"(2010, 11)",23.540001
"(2010, 12)",17.75
"(2011, 1)",19.530001
"(2011, 2)",18.35
"(2011, 3)",17.74
"(2011, 4)",14.75
"(2011, 5)",15.45
"(2011, 6)",16.52
"(2011, 7)",25.25
"(2011, 8)",31.620001
"(2011, 9)",42.959999
"(2011, 10)",29.959999
"(2011, 11)",27.799999
"(2011, 12)",23.4
"(2012, 1)",19.440001
"(2012, 2)",18.43
"(2012, 3)",15.5
"(2012, 4)",17.15
"(2012, 5)",24.059999
"(2012, 6)",17.08
"(2012, 7)",18.93
"(2012, 8)",17.469999
"(2012, 9)",15.73
"(2012, 10)",18.6
"(2012, 11)",15.87
"(2012, 12)",18.02
"(2013, 1)",14.28
"(2013, 2)",15.51
"(2013, 3)",12.7
"(2013, 4)",13.52
"(2013, 5)",16.299999
"(2013, 6)",16.860001
"(2013, 7)",13.45
"(2013, 8)",17.01
"(2013, 9)",16.6
"(2013, 10)",13.75
"(2013, 11)",13.7
"(2013, 12)",13.72
"(2014, 1)",18.41
"(2014, 2)",14.0
"(2014, 3)",13.88
"(2014, 4)",13.41
"(2014, 5)",11.4
"(2014, 6)",11.57
"(2014, 7)",16.950001
"(2014, 8)",12.09
"(2014, 9)",16.309999
"(2014, 10)",14.03
"(2014, 11)",13.33
"(2014, 12)",19.200001
"(2015, 1)",20.969999
"(2015, 2)",13.34
"(2015, 3)",15.29
"(2015, 4)",14.55
"(2015, 5)",13.84
"(2015, 6)",18.23
"(2015, 7)",12.12
"(2015, 8)",28.43
"(2015, 9)",24.5
"(2015, 10)",15.07
"(2015, 11)",16.129999
"(2015, 12)",18.209999
"(2016, 1)",20.200001
"(2016, 2)",20.549999
"(2016, 3)",13.95
"(2016, 4)",15.7
"(2016, 5)",14.19
"(2016, 6)",15.63
"(2016, 7)",11.87
"(2016, 8)",13.42
"(2016, 9)",13.29
"(2016, 10)",17.059999
"(2016, 11)",13.33
"(2016, 12)",14.04
"(2017, 1)",11.99
"(2017, 2)",12.92
"(2017, 3)",12.37
"(2017, 4)",10.82
"(2017, 5)",10.41
"(2017, 6)",11.18
"(2017, 7)",10.26
"(2017, 8)",10.59
"(2017, 9)",9.51
"(2017, 10)",10.18
"(2017, 11)",11.28
"(2017, 12)",11.04
"(2018, 1)",13.54
"(2018, 2)",19.85
"(2018, 3)",19.969999
"(2018, 4)",15.93
"(2018, 5)",15.43
"(2018, 6)",16.09
"(2018, 7)",12.83
"(2018, 8)",12.86
"(2018, 9)",12.12
"(2018, 10)",21.23
"(2018, 11)",18.07
"(2018, 12)",25.42
"(2019, 1)",16.57
"(2019, 2)",14.78
"(2019, 3)",13.71
"(2019, 4)",13.12
"(2019, 5)",18.709999
"(2019, 6)",15.08
"(2019, 7)",16.120001
"(2019, 8)",18.98
"(2019, 9)",16.24
"(2019, 10)",13.22
"(2019, 11)",12.62
"(2019, 12)",13.78
"(2020, 1)",18.84
"(2020, 2)",40.110001
"(2020, 3)",53.540001
"(2020, 4)",34.150002
"(2020, 5)",27.51
"(2020, 6)",30.43
"(2020, 7)",24.459999
"(2020, 8)",26.41
"(2020, 9)",26.370001
"(2020, 10)",38.02
"(2020, 11)",20.57
"(2020, 12)",22.75
"(2021, 1)",33.09
"(2021, 2)",27.950001
"(2021, 3)",19.4
"(2021, 4)",18.610001
"(2021, 5)",16.76
"(2021, 6)",15.83
"(2021, 7)",18.24
"(2021, 8)",16.48
"(2021, 9)",23.139999
"(2021, 10)",16.26
"(2021, 11)",27.190001
"(2021, 12)",17.219999
"(2022, 1)",24.83
"(2022, 2)",30.15
"(2022, 3)",20.559999
"(2022, 4)",33.400002
"(2022, 5)",26.190001
"(2022, 6)",28.709999
"(2022, 7)",21.33
"(2022, 8)",25.870001
"(2022, 9)",31.620001
"(2022, 10)",25.879999
"(2022, 11)",26.09
